panel id,flat reference,foam reference,macrostructure reference,mesostructure reference,sand type,binder type
panel_0020_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0020_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0021_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0021_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0022_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0022_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0023_0,mean_flat_rfl_2,mean_foam_2,panel_0031_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0023_1,mean_flat_rfl_2,mean_foam_2,panel_0031_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0024_0,mean_flat_rfl_2,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0024_1,mean_flat_rfl_2,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0025_0,mean_flat_rfl_2,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0025_1,mean_flat_rfl_2,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0026_0,mean_flat_rfl_2,mean_foam_2,panel_0031_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0026_1,mean_flat_rfl_2,mean_foam_2,panel_0031_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0027_0,mean_flat_rfl_2,mean_foam_2,panel_0031_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0027_1,mean_flat_rfl_2,mean_foam_2,panel_0031_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0028_0,mean_flat_rfl_2,mean_foam_2,panel_0015_0,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0028_1,mean_flat_rfl_2,mean_foam_2,panel_0015_1,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0029_0,mean_flat_rfl_2,mean_foam_2,panel_0015_0,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0029_1,mean_flat_rfl_2,mean_foam_2,panel_0015_1,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0030_0,mean_flat_rfl_2,mean_foam_2,panel_0015_0,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0030_1,mean_flat_rfl_2,mean_foam_2,panel_0015_1,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0031_0,mean_flat_cg,mean_foam_2,panel_0031_0,Macrostructure,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0031_1,mean_flat_cg,mean_foam_2,panel_0031_1,Macrostructure,"Quartz sand, avg grain size=190 micron",Furan binder
